"year","sex","age","deaths"
2007,"male",55,231.241344867866
2007,"male",60,314.328061855022
2007,"male",65,297.3103005444
2007,"male",70,301.314479676311
2007,"male",75,294.307166195466
2007,"male",80,330.344778382666
2007,"male",85,454.474331471911
2008,"male",0,281.847844837784
2008,"male",1,38.0368701632341
2008,"male",5,24.0232864188847
2008,"male",10,24.0232864188847
2008,"male",15,104.100907815167
2008,"male",20,124.120313164238
2008,"male",25,105.101878082621
2008,"male",30,118.114491559516
2008,"male",35,149.144569850576
2008,"male",40,183.177558943996
2008,"male",45,216.209577769962
2008,"male",50,246.238685793568
2008,"male",55,258.250329003011
2008,"male",60,288.279437026616
2008,"male",65,345.334742271468
2008,"male",70,329.319217992211
2008,"male",75,390.378404306876
2008,"male",80,354.343474678549
2008,"male",85,546.529766029627
2009,"male",0,270.426843727769
2009,"male",1,64.1011777725081
2009,"male",5,27.0426843727769
2009,"male",10,36.0569124970358
2009,"male",15,113.178642004585
2009,"male",20,133.210260058493
2009,"male",25,87.1375385345032
2009,"male",30,136.21500276658
2009,"male",35,166.262429847443
2009,"male",40,167.264010750138
2009,"male",45,222.350960398387
2009,"male",50,272.430005533159
2009,"male",55,300.474270808632
2009,"male",60,329.520116986799
2009,"male",65,307.4853371275
2009,"male",70,335.529602402972
2009,"male",75,364.57544858114
2009,"male",80,350.553315943404
2009,"male",85,539.852106552842
2010,"male",0,267.146627571315
2010,"male",1,43.0098068565286
2010,"male",5,27.0061577936342
2010,"male",10,36.0082103915123
2010,"male",15,104.023718908813
2010,"male",20,120.027367971708
2010,"male",25,120.027367971708
2010,"male",30,144.032841566049
2010,"male",35,168.038315160391
2010,"male",40,189.04310455544
2010,"male",45,219.049946548367
2010,"male",50,290.66793623439
2010,"male",55,285.064998932806
2010,"male",60,297.067735729977
2010,"male",65,343.078226785798
2010,"male",70,337.076858387213
2010,"male",75,373.085068778725
2010,"male",80,385.087805575896
2010,"male",85,637.145278316482
2011,"male",0,268.981642646941
2011,"male",1,43.0366248139964
2011,"male",5,28.0238487160907
2011,"male",10,31.0264039356718
2011,"male",15,110.093691384642
2011,"male",20,122.103912262967
2011,"male",25,136.115836621012
2011,"male",30,147.125205759476
2011,"male",35,196.166941012635
2011,"male",40,213.181420590261
2011,"male",45,247.210379745514
2011,"male",50,259.220600623839
2011,"male",55,306.260632397277
2011,"male",60,302.257225437835
2011,"male",65,383.326216366526
2011,"male",70,356.303219390296
2011,"male",75,331.281925893786
2011,"male",80,356.303219390296
2011,"male",85,568.483788240697
2012,"male",0,282.119796091759
2012,"male",1,40.016992353441
2012,"male",5,28.0118946474087
2012,"male",10,29.0123194562447
2012,"male",15,108.045879354291
2012,"male",20,155.065845369584
2012,"male",25,134.056924384027
2012,"male",30,133.056499575191
2012,"male",35,189.080288870009
2012,"male",40,186.0790144435
2012,"male",45,273.115972812234
2012,"male",50,306.129991503823
2012,"male",55,332.14103653356
2012,"male",60,349.148258283772
2012,"male",65,341.144859813084
2012,"male",70,375.159303313509
2012,"male",75,425.18054375531
2012,"male",80,439.186491079014
2012,"male",85,584.248088360238
2013,"male",0,284.28826634186
2013,"male",1,53.053796183516
2013,"male",5,19.0192854242793
2013,"male",10,22.0223304912708
2013,"male",15,81.0822168087698
2013,"male",20,129.130937880633
2013,"male",25,121.122817701989
2013,"male",30,163.16544863987
2013,"male",35,180.182704019488
2013,"male",40,198.200974421437
2013,"male",45,266.269995939911
2013,"male",50,337.342062525376
2013,"male",55,323.327852212749
2013,"male",60,381.386723507917
2013,"male",65,390.395858708892
2013,"male",70,409.415144133171
2013,"male",75,434.440519691433
2013,"male",80,441.447624847747
2013,"male",85,695.705440519691
2014,"male",0,230.729826975624
2014,"male",1,41.0333228863861
2014,"male",5,24.0195060798358
2014,"male",10,33.0268208597742
2014,"male",15,78.0633947594662
2014,"male",20,135.109721699076
2014,"male",25,116.094279385873
2014,"male",30,145.117849232341
2014,"male",35,182.147921105421
2014,"male",40,231.187746018419
2014,"male",45,259.210503111561
2014,"male",50,314.255204544518
2014,"male",55,373.303156990781
2014,"male",60,368.299093224148
2014,"male",65,397.322663070617
2014,"male",70,411.334041617187
2014,"male",75,449.364926243594
2014,"male",80,437.355173203676
2014,"male",85,698.56730182189
2015,"male",0,270.531733490253
2015,"male",1,27.0531733490253
2015,"male",5,19.0374182826474
2015,"male",10,22.0433264325391
2015,"male",15,92.1811832633454
2015,"male",20,166.326917627341
